user_id,mogu_post_id,status,applied_at,decided_at
1a6efa11-7701-46de-881e-62459753a4c4,4775201c-de57-4ddb-92e9-21490e7af9b4,accepted,2025-08-18 13:25:18,2025-08-18 16:25:18
8ca1b4e1-7d4a-43f5-afcd-940b3df0879b,4775201c-de57-4ddb-92e9-21490e7af9b4,accepted,2025-08-12 14:36:24,2025-08-12 18:36:24
0c8e0043-a683-4b24-be0f-38a9480336b3,6fffdfbf-5f93-4162-b4a5-06cae5daf73a,accepted,2025-08-27 21:27:21,2025-08-28 02:27:21
575b3cc5-7824-4765-aeac-0393ff728a96,6fffdfbf-5f93-4162-b4a5-06cae5daf73a,accepted,2025-08-15 12:31:25,2025-08-15 16:31:25
601a870b-fd04-40da-adc6-d38af32a7448,6fffdfbf-5f93-4162-b4a5-06cae5daf73a,accepted,2025-09-03 21:31:00,2025-09-04 00:31:00
54642a44-47af-4dd7-8291-85d1a34f7416,78d5ee4f-1bcf-48f3-9e70-67f132d3d4e1,accepted,2025-08-09 07:35:18,2025-08-09 11:35:18
19628c0b-1cbd-481c-a291-53d8ffd842e1,78d5ee4f-1bcf-48f3-9e70-67f132d3d4e1,accepted,2025-08-06 20:04:54,2025-08-06 22:04:54
ad963374-07b3-4b08-97e6-765598f0a2d7,9c9ee0c9-63a3-4596-b7ae-224128fdf73a,accepted,2025-10-10 21:38:20,2025-10-10 22:38:20
e492bcb9-3434-453b-a146-7aaadca296a2,9c9ee0c9-63a3-4596-b7ae-224128fdf73a,accepted,2025-09-28 09:37:25,2025-09-28 12:37:25
e5996875-ccd3-4248-b4ab-e1c0c108c221,9c9ee0c9-63a3-4596-b7ae-224128fdf73a,accepted,2025-09-11 13:14:07,2025-09-11 18:14:07
1a63ad8a-07c4-46c7-b40b-2734ba78666a,04174319-f7d6-4265-8802-a242fc16be0f,accepted,2025-09-17 09:41:49,2025-09-17 14:41:49
b81187ef-07ac-4a4c-abdd-a477dd859271,04174319-f7d6-4265-8802-a242fc16be0f,accepted,2025-09-19 19:51:06,2025-09-19 22:51:06
26f9220a-5d1e-42e6-832a-d17b7fdff4f7,ef1243a3-6911-4724-9b50-23e5ade31b56,accepted,2025-10-07 15:54:23,2025-10-07 17:54:23
1534aa47-1267-4885-8045-3b9aaf7d0821,ef1243a3-6911-4724-9b50-23e5ade31b56,accepted,2025-10-12 18:12:42,2025-10-12 20:12:42
1cac4e0d-508e-4a2f-979d-f78dd4e4cc30,ef1243a3-6911-4724-9b50-23e5ade31b56,accepted,2025-10-06 10:38:32,2025-10-06 15:38:32
bca408d8-eeda-4de6-ae3e-825c1699c2bd,3d5e7020-c794-49d5-8f60-e340e987750b,accepted,2025-09-30 10:31:41,2025-09-30 14:31:41
287b716b-c766-4024-926d-168acf0dcfcd,3d5e7020-c794-49d5-8f60-e340e987750b,accepted,2025-09-30 05:07:42,2025-09-30 08:07:42
c9da93f3-8ee1-47aa-b593-a5dfa1d7bdfa,bf42acba-4c9a-4a75-8dff-c69e2c10ef6c,accepted,2025-09-10 12:04:28,2025-09-10 13:04:28
78e5a6a8-8561-43c4-807b-5a058efd0344,bf42acba-4c9a-4a75-8dff-c69e2c10ef6c,accepted,2025-09-11 16:14:09,2025-09-11 21:14:09
378813ba-bcd9-4b57-b371-4df590c597e4,d8301da2-aabe-46dd-9abb-5fbc4c105219,accepted,2025-08-31 21:33:22,2025-08-31 22:33:22
6132adfa-8389-4eff-bb64-1660789be36f,d8301da2-aabe-46dd-9abb-5fbc4c105219,accepted,2025-09-20 19:19:55,2025-09-20 22:19:55
cd452764-f516-4338-9080-de97ba63e8fb,82a38c03-fd63-45c8-a8e6-4b170799bb90,accepted,2025-10-08 13:16:25,2025-10-08 17:16:25
8dca81ae-4a50-4331-b407-db35659fd48c,82a38c03-fd63-45c8-a8e6-4b170799bb90,accepted,2025-09-26 22:39:09,2025-09-27 00:39:09
baac867e-af85-46eb-8906-6e847ec51729,82a38c03-fd63-45c8-a8e6-4b170799bb90,accepted,2025-10-13 19:48:22,2025-10-13 20:48:22
7e1e209e-53af-4235-84fd-1a1beee82037,35c77b4b-4bc8-40a2-bc3c-c08f93394ca9,accepted,2025-10-06 22:00:01,2025-10-07 04:00:01
9ca34a30-590a-4e7e-861f-8fd4487772b6,35c77b4b-4bc8-40a2-bc3c-c08f93394ca9,accepted,2025-10-14 15:33:40,2025-10-14 19:33:40
d33dd8c4-2c36-47bf-b66a-a515b5ed6bc4,35c77b4b-4bc8-40a2-bc3c-c08f93394ca9,accepted,2025-10-19 11:06:06,2025-10-19 15:06:06
68dc4640-f463-40aa-a16d-6c63a25edc83,35c77b4b-4bc8-40a2-bc3c-c08f93394ca9,accepted,2025-09-25 06:49:24,2025-09-25 09:49:24
55c6d54f-0968-41c9-87c9-75d01e6d755c,b8310aa0-53a6-4a5b-8c96-a74a197266a6,accepted,2025-09-23 19:40:49,2025-09-24 01:40:49
36a384af-8871-4c83-8139-5ae698f38365,b8310aa0-53a6-4a5b-8c96-a74a197266a6,accepted,2025-10-01 08:38:59,2025-10-01 13:38:59
347948d5-91cc-4f68-9f93-eadef4831d8e,b8310aa0-53a6-4a5b-8c96-a74a197266a6,accepted,2025-09-19 11:05:56,2025-09-19 14:05:56
0ee63283-47a3-4c11-baf3-d963aae3cb6f,b8310aa0-53a6-4a5b-8c96-a74a197266a6,accepted,2025-10-09 15:57:35,2025-10-09 19:57:35
8ae09db2-c2eb-4bd7-8502-ac598a1c7ca9,b8310aa0-53a6-4a5b-8c96-a74a197266a6,accepted,2025-09-28 16:14:53,2025-09-28 21:14:53
edb5cc50-b9ff-4458-a08b-dc706ff8255a,2d5699f7-75a9-4d16-8f7d-5ef305d4b92f,accepted,2025-10-13 17:39:44,2025-10-13 22:39:44
f44c475e-b8c2-4109-90d5-8c7c58f1d625,2d5699f7-75a9-4d16-8f7d-5ef305d4b92f,accepted,2025-10-06 09:24:00,2025-10-06 13:24:00
7d8efe48-6dc4-4a8a-83f7-e3ca9ae3743e,b16113ee-5469-4f4f-a223-f3b9a83de0ef,accepted,2025-08-25 12:02:08,2025-08-25 17:02:08
bc1aac51-6a91-4259-876f-431c1878727b,b16113ee-5469-4f4f-a223-f3b9a83de0ef,accepted,2025-09-05 18:43:34,2025-09-05 22:43:34
58bf1798-87a5-4300-8cb1-472d51b3d627,b16113ee-5469-4f4f-a223-f3b9a83de0ef,accepted,2025-09-09 22:07:41,2025-09-09 23:07:41
947960bd-2176-40ed-a93a-85012c64606b,d0481a6b-092d-42fa-aab7-8fb5e80567f3,accepted,2025-09-10 19:29:29,2025-09-10 21:29:29
3260910a-d6d1-4ef3-a296-0aabfcf6a31b,d0481a6b-092d-42fa-aab7-8fb5e80567f3,accepted,2025-09-01 22:27:23,2025-09-02 01:27:23
6b2a9e1b-d59e-46e9-8409-180f739f4a72,a900baf6-703e-42cc-b263-d5cd8dd78a20,accepted,2025-08-29 20:23:33,2025-08-30 01:23:33
bb166553-b2f6-43fd-810e-f5e919fa3bb8,a900baf6-703e-42cc-b263-d5cd8dd78a20,accepted,2025-08-25 17:51:06,2025-08-25 21:51:06
fdd14d81-7d4e-4919-b77f-02acf8f8e306,a900baf6-703e-42cc-b263-d5cd8dd78a20,accepted,2025-09-12 10:36:36,2025-09-12 15:36:36
f7be9855-9aac-42d4-9cba-a59f9ad41e56,473e20a0-9aa6-44b1-b155-b8a31c9c1406,accepted,2025-08-24 19:58:22,2025-08-24 22:58:22
a83d9aa2-b920-4976-b462-edb397caf38b,473e20a0-9aa6-44b1-b155-b8a31c9c1406,accepted,2025-09-11 18:39:38,2025-09-11 22:39:38
a8e141b4-f48c-4e79-a081-44c06094deae,473e20a0-9aa6-44b1-b155-b8a31c9c1406,accepted,2025-08-24 17:06:53,2025-08-24 23:06:53
966e5eb3-a757-4c14-a4ec-75b39a670616,5dcff657-af53-4856-b611-fb917674be0a,accepted,2025-10-22 14:39:44,2025-10-22 16:39:44
9d781c34-aed0-4c74-8a52-96627c84897b,5dcff657-af53-4856-b611-fb917674be0a,accepted,2025-09-08 15:10:12,2025-09-08 19:10:12
093edf15-5a62-486c-bc70-3515c33162fb,5dcff657-af53-4856-b611-fb917674be0a,accepted,2025-08-27 12:29:24,2025-08-27 13:29:24
f005a3ca-c7d2-47ff-a893-90cbdd13fcd5,5dcff657-af53-4856-b611-fb917674be0a,accepted,2025-08-29 15:07:06,2025-08-29 16:07:06
b180faf3-b103-47d2-a23e-e2c82034f8e5,871a2137-a137-43bf-a430-d1c69b642f11,accepted,2025-08-23 10:06:37,2025-08-23 14:06:37
eed80da4-e67f-4cea-9fbb-38d07e863de2,871a2137-a137-43bf-a430-d1c69b642f11,accepted,2025-08-24 20:43:27,2025-08-25 00:43:27
5c7a853a-7f22-4cc0-acb8-fa7cb224c6cf,871a2137-a137-43bf-a430-d1c69b642f11,accepted,2025-08-19 09:13:10,2025-08-19 15:13:10
5d906d72-4c80-4e15-84d0-7443d04ecc64,871a2137-a137-43bf-a430-d1c69b642f11,accepted,2025-08-24 07:51:57,2025-08-24 09:51:57
5465a9de-4cd6-441f-bcdb-3e85c3fd2b8b,4dfd1fe6-7b3b-409f-881b-11a22d72f609,accepted,2025-08-29 13:27:54,2025-08-29 18:27:54
