id,user_id,name,category,target_count,created_at
2329d6ea-1b73-482c-840f-8e5a93dea216,3e9e01e2-3ea9-40ed-b511-cb554fb501e9,필라델피아 크림치즈 1.36kg,식품/간식,8,2025-08-20 07:59:02
2062b452-0b06-490d-b652-699b3c158068,ab1a4ac3-06c1-4215-9df7-caf47e755def,종량제봉투 100L 100매,생활용품,4,2025-09-12 09:03:59
c01dcd7c-8d9a-41ec-b36c-27762bca7058,9e4a99dd-4a22-42d3-ba51-a79d87817758,상하목장 유기농우유 24팩,식품/간식,3,2025-08-06 12:57:04
b1a7e0dd-a796-4828-a845-4343665d02b9,0437d43d-928f-4054-91e3-391e2c730a87,아베다 샴푸 1L,뷰티/헬스케어,7,2025-08-03 16:51:16
cbd5f49b-bf15-46da-8719-7a38244fd011,9024d2dc-aa28-4b97-a0a9-57981caf84b7,잔스포츠 백팩,패션/잡화,3,2025-09-06 19:54:51
b4291f56-2964-484a-bbef-dbfe38d9e7d5,21be1ce6-b4f1-4862-96f2-cee92001e8bc,햇반 24개입 1박스,식품/간식,4,2025-09-05 02:31:12
a7373773-add8-41aa-9ebe-c7b3d3c931db,c4258ae2-6265-460b-b3ba-49f2e468cbcb,세타필 대용량 로션 591ml,뷰티/헬스케어,3,2025-10-01 12:07:31
3e8148a7-eb70-44c0-b323-35f6155854cc,35d9ce93-de78-4088-ac80-7c3316bff90b,바이오가이아 유산균,뷰티/헬스케어,8,2025-09-08 00:34:01
0b31e1df-94d7-40a7-9422-ef54a195104b,87153e88-9501-49b5-973e-382f173ed084,아베다 샴푸 1L,뷰티/헬스케어,4,2025-09-04 13:02:39
7384494b-903f-45ca-bc05-0ba617595109,7fb9989f-70af-4d75-a747-2253358d0ee6,닥터지 선크림 1+1 기획세트,뷰티/헬스케어,5,2025-08-03 01:44:12
d60106d9-5e8b-4efc-ae9e-0a9f0a3ca7bd,df4fb5b8-80ec-4b03-a6d3-84f1b25f7fd1,코스트코 소불고기 (4kg),식품/간식,4,2025-08-12 23:05:15
